id,different?,expected result,actual result,result_message different?,expected result_message,actual result_message,messages different?,expected messages,actual messages
davinci_pas_client_suite_v201-pas_client_v201_workflows_no_auth-pas_client_v201_approval_group-pas_client_v201_response_bundle_validation_test,true,pass,pass,false,,,true,"! (warning) ""Bundle/2e2d8076-6e4b-4ef6-bb25-c508f21dd81a: Bundle.entry[0].resource/*ClaimResponse/be90044f-1466-4937-a5c7-22d2ab5a3ec0*/.item[0].adjudication[0].extension[0].extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/response/2000F/HCR/1/01/00/306' not found""
! (warning) ""Bundle/2e2d8076-6e4b-4ef6-bb25-c508f21dd81a: Bundle.entry[1].resource/*Patient/SubscriberExample*/.extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2010C/INS/1/08/00/584' not found""
! (warning) ""Bundle/2e2d8076-6e4b-4ef6-bb25-c508f21dd81a: Bundle.entry[1].resource/*Patient/SubscriberExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/2e2d8076-6e4b-4ef6-bb25-c508f21dd81a: Bundle.entry[2].resource/*Organization/InsurerExample*/.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/request/2010A/NM1/1/01/00/98' not found""
! (warning) ""Bundle/2e2d8076-6e4b-4ef6-bb25-c508f21dd81a: Bundle.entry[2].resource/*Organization/InsurerExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/2e2d8076-6e4b-4ef6-bb25-c508f21dd81a: Bundle.entry[3].resource/*Organization/UMOExample*/.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/response/2010B/NM1/1/01/00/98' not found""
! (warning) ""Bundle/2e2d8076-6e4b-4ef6-bb25-c508f21dd81a: Bundle.entry[3].resource/*Organization/UMOExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""ClaimResponse/be90044f-1466-4937-a5c7-22d2ab5a3ec0: ClaimResponse.item[0].adjudication[0].extension[0].extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/response/2000F/HCR/1/01/00/306' not found""
! (warning) ""ClaimResponse/be90044f-1466-4937-a5c7-22d2ab5a3ec0: ClaimResponse: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
- (warning) ""Organization/InsurerExample: Organization.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/request/2010A/NM1/1/01/00/98' not found""
- (warning) ""Organization/InsurerExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
- (warning) ""Organization/UMOExample: Organization.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/response/2010B/NM1/1/01/00/98' not found""
- (warning) ""Organization/UMOExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
- (warning) ""Patient/SubscriberExample: Patient.extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2010C/INS/1/08/00/584' not found""
- (warning) ""Patient/SubscriberExample: Patient: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""","! (warning) ""Bundle/13743a4a-8689-4f40-be50-87ceae8eb260: Bundle.entry[0].resource/*ClaimResponse/5e80ea69-2746-4c80-a0f6-bcc41206d02d*/.item[0].adjudication[0].extension[0].extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/response/2000F/HCR/1/01/00/306' not found""
! (warning) ""Bundle/13743a4a-8689-4f40-be50-87ceae8eb260: Bundle.entry[1].resource/*Patient/SubscriberExample*/.extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2010C/INS/1/08/00/584' not found""
! (warning) ""Bundle/13743a4a-8689-4f40-be50-87ceae8eb260: Bundle.entry[1].resource/*Patient/SubscriberExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/13743a4a-8689-4f40-be50-87ceae8eb260: Bundle.entry[2].resource/*Organization/InsurerExample*/.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/request/2010A/NM1/1/01/00/98' not found""
! (warning) ""Bundle/13743a4a-8689-4f40-be50-87ceae8eb260: Bundle.entry[2].resource/*Organization/InsurerExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/13743a4a-8689-4f40-be50-87ceae8eb260: Bundle.entry[3].resource/*Organization/UMOExample*/.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/response/2010B/NM1/1/01/00/98' not found""
! (warning) ""Bundle/13743a4a-8689-4f40-be50-87ceae8eb260: Bundle.entry[3].resource/*Organization/UMOExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""ClaimResponse/5e80ea69-2746-4c80-a0f6-bcc41206d02d: ClaimResponse.item[0].adjudication[0].extension[0].extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/response/2000F/HCR/1/01/00/306' not found""
! (warning) ""ClaimResponse/5e80ea69-2746-4c80-a0f6-bcc41206d02d: ClaimResponse: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
- (warning) ""Organization/InsurerExample: Organization.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/request/2010A/NM1/1/01/00/98' not found""
- (warning) ""Organization/InsurerExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
- (warning) ""Organization/UMOExample: Organization.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/response/2010B/NM1/1/01/00/98' not found""
- (warning) ""Organization/UMOExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
- (warning) ""Patient/SubscriberExample: Patient.extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2010C/INS/1/08/00/584' not found""
- (warning) ""Patient/SubscriberExample: Patient: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)"""
davinci_pas_client_suite_v201-pas_client_v201_workflows_no_auth-pas_client_v201_pended_group-Group04-pas_client_v201_inquire_response_bundle_validation_test,true,pass,pass,false,,,true,"! (warning) ""Bundle/7acd2fc0-0e65-4f75-b911-494f154d9f03: Bundle.entry[0].resource/*ClaimResponse/ff5e9c5e-62dc-4a1b-bfb3-2fe2792bc3a9*/.item[0].adjudication[0].extension[0].extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/response/2000F/HCR/1/01/00/306' not found""
! (warning) ""Bundle/7acd2fc0-0e65-4f75-b911-494f154d9f03: Bundle.entry[0].resource/*ClaimResponse/ff5e9c5e-62dc-4a1b-bfb3-2fe2792bc3a9*/.item[1].adjudication[0].extension[0].extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/response/2000F/HCR/1/01/00/306' not found""
! (warning) ""Bundle/7acd2fc0-0e65-4f75-b911-494f154d9f03: Bundle.entry[1].resource/*Patient/SubscriberExample*/.extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2010C/INS/1/08/00/584' not found""
! (warning) ""Bundle/7acd2fc0-0e65-4f75-b911-494f154d9f03: Bundle.entry[1].resource/*Patient/SubscriberExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/7acd2fc0-0e65-4f75-b911-494f154d9f03: Bundle.entry[2].resource/*Organization/InsurerExample*/.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/request/2010A/NM1/1/01/00/98' not found""
! (warning) ""Bundle/7acd2fc0-0e65-4f75-b911-494f154d9f03: Bundle.entry[2].resource/*Organization/InsurerExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/7acd2fc0-0e65-4f75-b911-494f154d9f03: Bundle.entry[3].resource/*Organization/UMOExample*/.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/response/2010B/NM1/1/01/00/98' not found""
! (warning) ""Bundle/7acd2fc0-0e65-4f75-b911-494f154d9f03: Bundle.entry[3].resource/*Organization/UMOExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""ClaimResponse/ff5e9c5e-62dc-4a1b-bfb3-2fe2792bc3a9: ClaimResponse.item[0].adjudication[0].extension[0].extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/response/2000F/HCR/1/01/00/306' not found""
! (warning) ""ClaimResponse/ff5e9c5e-62dc-4a1b-bfb3-2fe2792bc3a9: ClaimResponse.item[1].adjudication[0].extension[0].extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/response/2000F/HCR/1/01/00/306' not found""
! (warning) ""ClaimResponse/ff5e9c5e-62dc-4a1b-bfb3-2fe2792bc3a9: ClaimResponse: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
- (warning) ""Organization/InsurerExample: Organization.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/request/2010A/NM1/1/01/00/98' not found""
- (warning) ""Organization/InsurerExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
- (warning) ""Organization/UMOExample: Organization.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/response/2010B/NM1/1/01/00/98' not found""
- (warning) ""Organization/UMOExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
- (warning) ""Patient/SubscriberExample: Patient.extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2010C/INS/1/08/00/584' not found""
- (warning) ""Patient/SubscriberExample: Patient: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""","! (warning) ""Bundle/6a4b4019-76d1-4a65-8b73-c74b8c57f6ee: Bundle.entry[0].resource/*ClaimResponse/a284d492-be28-4311-9769-e1010f380f8b*/.item[0].adjudication[0].extension[0].extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/response/2000F/HCR/1/01/00/306' not found""
! (warning) ""Bundle/6a4b4019-76d1-4a65-8b73-c74b8c57f6ee: Bundle.entry[0].resource/*ClaimResponse/a284d492-be28-4311-9769-e1010f380f8b*/.item[1].adjudication[0].extension[0].extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/response/2000F/HCR/1/01/00/306' not found""
! (warning) ""Bundle/6a4b4019-76d1-4a65-8b73-c74b8c57f6ee: Bundle.entry[1].resource/*Patient/SubscriberExample*/.extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2010C/INS/1/08/00/584' not found""
! (warning) ""Bundle/6a4b4019-76d1-4a65-8b73-c74b8c57f6ee: Bundle.entry[1].resource/*Patient/SubscriberExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/6a4b4019-76d1-4a65-8b73-c74b8c57f6ee: Bundle.entry[2].resource/*Organization/InsurerExample*/.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/request/2010A/NM1/1/01/00/98' not found""
! (warning) ""Bundle/6a4b4019-76d1-4a65-8b73-c74b8c57f6ee: Bundle.entry[2].resource/*Organization/InsurerExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/6a4b4019-76d1-4a65-8b73-c74b8c57f6ee: Bundle.entry[3].resource/*Organization/UMOExample*/.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/response/2010B/NM1/1/01/00/98' not found""
! (warning) ""Bundle/6a4b4019-76d1-4a65-8b73-c74b8c57f6ee: Bundle.entry[3].resource/*Organization/UMOExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""ClaimResponse/a284d492-be28-4311-9769-e1010f380f8b: ClaimResponse.item[0].adjudication[0].extension[0].extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/response/2000F/HCR/1/01/00/306' not found""
! (warning) ""ClaimResponse/a284d492-be28-4311-9769-e1010f380f8b: ClaimResponse.item[1].adjudication[0].extension[0].extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/response/2000F/HCR/1/01/00/306' not found""
! (warning) ""ClaimResponse/a284d492-be28-4311-9769-e1010f380f8b: ClaimResponse: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
- (warning) ""Organization/InsurerExample: Organization.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/request/2010A/NM1/1/01/00/98' not found""
- (warning) ""Organization/InsurerExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
- (warning) ""Organization/UMOExample: Organization.type[0]: ValueSet 'https://valueset.x12.org/x217/005010/response/2010B/NM1/1/01/00/98' not found""
- (warning) ""Organization/UMOExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
- (warning) ""Patient/SubscriberExample: Patient.extension[0].value.ofType(CodeableConcept): ValueSet 'https://valueset.x12.org/x217/005010/request/2010C/INS/1/08/00/584' not found""
- (warning) ""Patient/SubscriberExample: Patient: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)"""
