id,different?,expected result,actual result,result_message different?,expected result_message (normalized),actual result_message (normalized),messages different?,expected messages (normalized),actual messages (normalized)
g10_certification-g10_smart_limited_app,true,pass,,false,,,false,"",""
g10_certification-g10_smart_ehr_practitioner_app-smart_ehr_launch_stu2-smart_launch_received,true,pass,,false,,,false,"",""
g10_certification-g10_smart_ehr_practitioner_app-smart_ehr_launch_stu2-ehr_auth_tls,true,pass,,false,,,false,"! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization accepted TLS 1.2 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization accepted TLS 1.3 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied SSL 2.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied SSL 3.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied TLS 1.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied TLS 1.1 connection as required.""",""
g10_certification-g10_smart_ehr_practitioner_app-smart_discovery_stu2,true,pass,,false,,,false,"",""
g10_certification-g10_smart_ehr_practitioner_app-smart_ehr_launch_stu2-smart_code_received,true,pass,,false,,,false,"",""
g10_certification-g10_smart_ehr_practitioner_app-smart_ehr_launch_stu2-ehr_token_tls,true,pass,,false,,,false,"! (info) ""<REFERENCE_SERVER_URL>/oauth/token accepted TLS 1.2 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token accepted TLS 1.3 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied SSL 2.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied SSL 3.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied TLS 1.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied TLS 1.1 connection as required.""",""
g10_certification-Group06-g10_token_introspection-smart_token_introspection_access_token_group-smart_discovery_stu2,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_token_introspection-smart_token_introspection_access_token_group-smart_standalone_launch_stu2-smart_code_received,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_token_introspection-smart_token_introspection_access_token_group-smart_standalone_launch_stu2-smart_token_exchange,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_token_introspection-smart_token_introspection_access_token_group-smart_standalone_launch_stu2,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_token_introspection-smart_token_introspection_access_token_group,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_token_introspection-smart_token_introspection_response_group,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_asymmetric_launch-smart_standalone_launch_stu2-standalone_auth_tls,true,pass,,false,,,false,"! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization accepted TLS 1.2 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization accepted TLS 1.3 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied SSL 2.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied SSL 3.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied TLS 1.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied TLS 1.1 connection as required.""",""
g10_certification-Group06-g10_public_standalone_launch_stu2-g10_patient_context,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_public_standalone_launch_stu2-g10_public_launch_id_token,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_token_revocation-Test01,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_public_standalone_launch_stu2,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_asymmetric_launch-smart_standalone_launch_stu2-g10_patient_context,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_asymmetric_launch-smart_standalone_launch_stu2-g10_asymmetric_launch_id_token,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_asymmetric_launch-smart_standalone_launch_stu2,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes-smart_standalone_launch_stu2-standalone_token_tls,true,pass,,false,,,false,"! (info) ""<REFERENCE_SERVER_URL>/oauth/token accepted TLS 1.2 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token accepted TLS 1.3 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied SSL 2.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied SSL 3.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied TLS 1.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied TLS 1.1 connection as required.""",""
g10_certification-Group06-g10_smart_v1_scopes-smart_standalone_launch_stu2-smart_token_exchange,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes-smart_standalone_launch_stu2-smart_token_response_body,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes-smart_standalone_launch_stu2-smart_token_response_headers,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes-smart_standalone_launch_stu2-g10_unauthorized_access,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes-smart_standalone_launch_stu2-g10_smart_scopes,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes-g10_unrestricted_resource_type_access-Test01,true,pass,,false,Scopes received indicate access to all necessary resources.,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes-g10_unrestricted_resource_type_access-g10_patient_unrestricted_access,true,pass,,false,Access expected to be granted and request properly returned 200,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes-g10_unrestricted_resource_type_access-g10_care_plan_unrestricted_access,true,pass,,false,Access expected to be granted and request properly returned 200,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes-g10_unrestricted_resource_type_access-g10_condition_unrestricted_access,true,pass,,false,Access expected to be granted and request properly returned 200,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes-g10_unrestricted_resource_type_access-g10_diagnostic_report_unrestricted_access,true,pass,,false,Access expected to be granted and request properly returned 200,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes-g10_unrestricted_resource_type_access-g10_goal_unrestricted_access,true,pass,,false,Access expected to be granted and request properly returned 200,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes-g10_unrestricted_resource_type_access-g10_medication_request_access,true,pass,,false,Access expected to be granted and request properly returned 200,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes-g10_unrestricted_resource_type_access-g10_procedure_unrestricted_access,true,pass,,false,Access expected to be granted and request properly returned 200,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes-g10_unrestricted_resource_type_access-g10_us_core_6_coverage_unrestricted_access,true,pass,,false,Access expected to be granted and request properly returned 200,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes-g10_token_incorrectly_permitted_tls_versions_messages_setup,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_v1_scopes,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01-us_core_smart_standalone_launch_stu2-smart_discovery_stu2-well_known_endpoint,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01-us_core_smart_standalone_launch_stu2-smart_discovery_stu2-well_known_capabilities_stu2,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01-us_core_smart_standalone_launch_stu2-smart_standalone_launch_stu2-standalone_auth_tls,true,pass,,false,,,false,"! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization accepted TLS 1.2 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization accepted TLS 1.3 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied SSL 2.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied SSL 3.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied TLS 1.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied TLS 1.1 connection as required.""",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01-us_core_smart_standalone_launch_stu2-smart_discovery_stu2,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01-us_core_smart_standalone_launch_stu2-smart_standalone_launch_stu2-smart_code_received,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01-us_core_smart_standalone_launch_stu2-smart_standalone_launch_stu2-standalone_token_tls,true,pass,,false,,,false,"! (info) ""<REFERENCE_SERVER_URL>/oauth/token accepted TLS 1.2 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token accepted TLS 1.3 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied SSL 2.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied SSL 3.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied TLS 1.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied TLS 1.1 connection as required.""",""
g10_certification-Group06-g10_token_revocation-Test02,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_token_revocation-Test03,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_token_revocation,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01-us_core_smart_standalone_launch_stu2-smart_standalone_launch_stu2,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01-us_core_smart_standalone_launch_stu2,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01-us_core_v610_condition_granular_scope_1_group-us_core_v610_Condition_patient_category_granular_scope_search_test,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01-us_core_v610_condition_granular_scope_1_group-us_core_v610_Condition_patient_granular_scope_search_test,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01-us_core_v610_condition_granular_scope_1_group-us_core_v610_Condition_granular_scope_read_test,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01-us_core_v610_observation_granular_scope_1_group-us_core_v610_Observation_patient_category_granular_scope_search_test,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01-us_core_v610_observation_granular_scope_1_group-us_core_v610_Observation_patient_category_date_granular_scope_search_test,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01-us_core_v610_observation_granular_scope_1_group-us_core_v610_Observation_patient_code_granular_scope_search_test,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01-us_core_v610_observation_granular_scope_1_group-us_core_v610_Observation_granular_scope_read_test,true,pass,,false,,,false,"",""
